competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,pluribus,sugarpercent,pricepercent,winpercent,pc1,pc2
100 Grand,1,0,1,0,0,1,0,1,0,0.73199999,0.86000001,66.971725,1.2375584221450842,-0.440594523
3 Musketeers,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,67.602936,1.080002144082999,-0.179077808
One dime,0,0,0,0,0,0,0,0,0,0.011000000000000001,0.11599999999999999,32.261086,0.032129941,-0.11753194
One quarter,0,0,0,0,0,0,0,0,0,0.011000000000000001,0.51099998,46.116505,0.22934000595892504,-0.113954399
Air Heads,0,1,0,0,0,0,0,0,0,0.90600002,0.51099998,52.341465,-0.602258083,-0.785347579
Almond Joy,1,0,0,1,0,0,0,1,0,0.465,0.76700002,50.347546,1.1125566635613302,0.020919721732765243
Baby Ruth,1,0,1,1,1,0,0,1,0,0.60399997,0.76700002,56.914547,1.5023805001766148,-0.332202007
Boston Baked Beans,0,0,0,1,0,0,0,0,1,0.31299999,0.51099998,23.417824,-0.248636459,0.857113951
Candy Corn,0,0,0,0,0,0,0,0,1,0.90600002,0.32499999,38.010963000000004,-0.294648782,0.5863088338748164
Caramel Apple Pops,0,1,1,0,0,0,0,0,0,0.60399997,0.32499999,34.517681,-0.20775058,-0.671429849
Charleston Chew,1,0,0,0,1,0,0,1,0,0.60399997,0.51099998,38.975037,1.1264579333405564,-0.048214374
Chewey Lemonhead Fruit Mix,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,36.017628,-0.806128312,-0.061763149
Chiclets,0,1,0,0,0,0,0,0,1,0.046,0.32499999,24.524988,-0.894295717,-0.020726226
Dots,0,1,0,0,0,0,0,0,1,0.73199999,0.51099998,42.272076,-0.865859012,0.11282612779305384
Dum Dums,0,1,0,0,0,0,1,0,0,0.73199999,0.034000002,39.460556,-0.523808832,-0.853030917
Fruit Chews,0,1,0,0,0,0,0,0,1,0.127,0.034000002,43.088924,-0.733574419,0.066751196
Fun Dip,0,1,0,0,0,0,1,0,0,0.73199999,0.32499999,39.185505,-0.620184907,-0.860598178
Gobstopper,0,1,0,0,0,0,1,0,1,0.90600002,0.45300001,46.783348,-0.914185286,-0.078292899
Haribo Gold Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,57.11974,-0.624530273,0.14280047712561805
Haribo Happy Cola,0,0,0,0,0,0,0,0,1,0.465,0.465,34.158958,-0.261432238,0.5774848048151451
Haribo Sour Bears,0,1,0,0,0,0,0,0,1,0.465,0.465,51.41243,-0.856808963,0.072154747
Haribo Twin Snakes,0,1,0,0,0,0,0,0,1,0.465,0.465,42.178771999999995,-0.945298635,0.027597821401523198
HersheyÕs Kisses,1,0,0,0,0,0,0,0,1,0.127,0.093000002,55.375454000000005,0.1719332706986306,0.8755163085410562
HersheyÕs Krackel,1,0,0,0,0,1,0,1,0,0.43000001,0.91799998,62.28448100000001,1.1177119759373428,-0.222081617
HersheyÕs Milk Chocolate,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,56.490501,0.9124340237971024,-0.043850591
HersheyÕs Special Dark,1,0,0,0,0,0,0,1,0,0.43000001,0.91799998,59.236121999999995,1.0896636798784702,-0.139384983
Jawbusters,0,1,0,0,0,0,1,0,1,0.093000002,0.51099998,28.127439000000003,-0.791571113,-0.244950174
Junior Mints,1,0,0,0,0,0,0,0,1,0.19699999999999998,0.51099998,57.21925,0.1149405511451134,0.703240216
Kit Kat,1,0,0,0,0,1,0,1,0,0.31299999,0.51099998,76.7686,0.8728797929102352,-0.17710475
Laffy Taffy,0,1,0,0,0,0,0,0,0,0.22,0.11599999999999999,41.389557,-0.281667217,-0.488161601
Lemonhead,0,1,0,0,0,0,1,0,0,0.046,0.10400000000000001,39.141056,-0.731221453,-0.994605487
Lifesavers big ring gummies,0,1,0,0,0,0,0,0,0,0.26699999,0.27900001,52.911392000000006,-0.463858857,-0.61786945
Peanut butter M&MÕs,1,0,0,1,0,0,0,0,1,0.82499999,0.65100002,71.46505,0.5321429183061797,0.9363573772767387
M&MÕs,1,0,0,0,0,0,0,0,1,0.82499999,0.65100002,66.574585,0.078489845,0.8677043563093678
Mike & Ike,0,1,0,0,0,0,0,0,1,0.87199998,0.32499999,46.411716,-0.775703531,0.14879537921978309
Milk Duds,1,0,1,0,0,0,0,0,1,0.30199999,0.51099998,55.064071999999996,0.259427782,0.5380989811915325
Milky Way,1,0,1,0,1,0,0,1,0,0.60399997,0.65100002,73.099556,1.272954659034343,-0.398975287
Milky Way Midnight,1,0,1,0,1,0,0,1,0,0.73199999,0.44100001,60.800701000000004,1.3605080515113217,-0.414927598
Milky Way Simply Caramel,1,0,1,0,0,0,0,1,0,0.96499997,0.86000001,64.35334,1.3857079656052096,-0.227569075
Mounds,1,0,0,0,0,0,0,1,0,0.31299999,0.86000001,47.829754,0.880368669,-0.134823627
Mr Good Bar,1,0,0,1,0,0,0,1,0,0.31299999,0.91799998,54.526451,1.0976531498344093,-0.057905942
Nerds,0,1,0,0,0,0,1,0,1,0.84799999,0.32499999,55.354046,-1.069197602,-0.127744233
Nestle Butterfinger,1,0,0,1,0,0,0,1,0,0.60399997,0.76700002,70.735641,1.0330919808181032,-0.150079519
Nestle Crunch,1,0,0,0,0,1,0,1,0,0.31299999,0.76700002,66.47068,1.3054957294560303,-0.320645648
Nik L Nip,0,1,0,0,0,0,0,0,1,0.19699999999999998,0.97600001,22.445341,-0.754271469,0.24669036871237987
Now & Later,0,1,0,0,0,0,0,0,1,0.22,0.32499999,39.4468,-0.968193112,0.2231974437032911
Payday,0,0,0,1,1,0,0,1,0,0.465,0.76700002,46.296597,0.9235554851515928,-0.481398041
Peanut M&Ms,1,0,0,1,0,0,0,0,1,0.59299999,0.65100002,69.483788,0.3815518871567294,0.9458289788572836
Pixie Sticks,0,0,0,0,0,0,0,0,1,0.093000002,0.023,37.722336,-0.384661004,0.5747069870509645
Pop Rocks,0,1,0,0,0,0,1,0,1,0.60399997,0.83700001,41.265511,-1.130952505,-0.216620872
Red vines,0,1,0,0,0,0,0,0,1,0.58099997,0.11599999999999999,37.348521999999996,-0.901314051,0.10383119419673893
ReeseÕs Miniatures,1,0,0,1,0,0,0,0,0,0.034000002,0.27900001,81.86625699999999,0.6862769779524742,0.17522249943303356
ReeseÕs Peanut Butter cup,1,0,0,1,0,0,0,0,0,0.72000003,0.65100002,84.18029,0.9743189900273901,0.3417069912539433
ReeseÕs pieces,1,0,0,1,0,0,0,0,1,0.40599999,0.65100002,73.43499,0.20646302930882687,1.0311603700443908
ReeseÕs stuffed with pieces,1,0,0,1,0,0,0,0,0,0.98799998,0.65100002,72.887901,0.764726082,0.2043565817643424
Ring pop,0,1,0,0,0,0,1,0,0,0.73199999,0.96499997,35.290756,-0.685239916,-1.011897
Rolo,1,0,1,0,0,0,0,0,1,0.86000001,0.86000001,65.716286,0.16615504809469286,0.7994029823077613
Root Beer Barrels,0,0,0,0,0,0,1,0,1,0.73199999,0.068999998,29.703691,-0.771712009,0.11678178410544353
Runts,0,1,0,0,0,0,1,0,1,0.87199998,0.27900001,42.849144,-1.070769398,-0.322795972
Sixlets,1,0,0,0,0,0,0,0,1,0.22,0.081,34.722,0.021611844291633014,0.8172939255314606
Skittles original,0,1,0,0,0,0,0,0,1,0.94099998,0.22,63.08514,-0.772707357,0.21989964239514742
Skittles wildberry,0,1,0,0,0,0,0,0,1,0.94099998,0.22,55.103694999999995,-0.917991035,0.1594372959524114
Nestle Smarties,1,0,0,0,0,0,0,0,1,0.26699999,0.97600001,37.887188,0.26850483916644574,0.7827981151073442
Smarties candy,0,1,0,0,0,0,1,0,1,0.26699999,0.11599999999999999,45.995827,-0.981257051,-0.120903404
Snickers,1,0,1,1,1,0,0,1,0,0.546,0.65100002,76.67378199999999,1.352883360006011,-0.191580873
Snickers Crisper,1,0,1,1,0,1,0,1,0,0.60399997,0.65100002,59.529251,1.4677615200347407,-0.152144682
Sour Patch Kids,0,1,0,0,0,0,0,0,1,0.068999998,0.11599999999999999,59.863997999999995,-0.846225203,0.23123848001109953
Sour Patch Tricksters,0,1,0,0,0,0,0,0,1,0.068999998,0.11599999999999999,52.825947,-0.949002398,0.1558670663264945
Starburst,0,1,0,0,0,0,0,0,1,0.15099999,0.22,67.037628,-0.764667274,0.3576364736665625
Strawberry bon bons,0,1,0,0,0,0,1,0,1,0.56900001,0.057999998,34.578990999999995,-0.917873287,-0.119158137
Sugar Babies,0,0,1,0,0,0,0,0,1,0.96499997,0.76700002,33.43755,-0.252843305,0.2963391599213799
Sugar Daddy,0,0,1,0,0,0,0,0,0,0.41800001,0.32499999,32.230995,0.19286486680372156,-0.388845088
Super Bubble,0,1,0,0,0,0,0,0,0,0.162,0.11599999999999999,27.303865000000002,-0.487802009,-0.564277235
Swedish Fish,0,1,0,0,0,0,0,0,1,0.60399997,0.755,54.861111,-0.749954062,0.3277758846316765
Tootsie Pop,1,1,0,0,0,0,1,0,0,0.60399997,0.32499999,48.982651000000004,-0.094870516,-0.632903453
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897,0.5693231352871421,-0.005471637
Tootsie Roll Midgies,1,0,0,0,0,0,0,0,1,0.17399999,0.011000000000000001,45.736748,0.16346650632399934,0.7092789315683296
Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0,0.465,0.32499999,49.653503,1.0466789581906522,-0.151036215
Trolli Sour Bites,0,1,0,0,0,0,0,0,1,0.31299999,0.255,47.173229,-0.783314923,0.3643692796968637
Twix,1,0,1,0,0,1,0,1,0,0.546,0.90600002,81.642914,1.2234058195373378,-0.265271749
Twizzlers,0,1,0,0,0,0,0,0,0,0.22,0.11599999999999999,45.466282,-0.413842135,-0.429604208
Warheads,0,1,0,0,0,0,1,0,0,0.093000002,0.11599999999999999,39.011897999999995,-0.847696829,-0.870084583
WelchÕs Fruit Snacks,0,1,0,0,0,0,0,0,1,0.31299999,0.31299999,44.375519,-0.856318941,0.1040407481510414
WertherÕs Original Caramel,0,0,1,0,0,0,1,0,0,0.18600000000000003,0.26699999,41.904308,0.10655458872807133,-0.711203774
Whoppers,1,0,0,0,0,1,0,0,1,0.87199998,0.84799999,49.524113,0.4273933183653136,0.6864166763998046